country_id,country_name,post_ussr,industry,service,agro,hh_cons,gov_exp,invest,net_export,empl_ind,empl_serv,empl_agro,gdp_growth_ave,infl_ave,unempl_ave,empl_ave,fisc_bal_ave,gov_debt_ave,cur_bal_ave,gdp_perc_ppp,gini,povert,electro,elecdem,parpipdem,delibdem,frefair,jucon,legcon,cspart,locelec,eltrnout,clrelig,clstown,svstterr,mediacens,womempow,freeexp,male,nat_pop_increase,migration,rural,life_expect,med_age,death_rate,birth_rate,fertility,education,atheist,rus_lang,main_relig,arm_exp,arm_imp,mil_expend
1,Afghanistan,0,0.124708906,0.560685496,0.270135608,0.81,0.28,0.12,-3,0.185499992,0.389599991,0.425,0.010553511,0.026348244,0.112566667,0.5035,-0.00628,0.075845,0.11525,2087.636394,0.278,0.545,0.977,0.366,0.151,0.289,0.153,0.358,0.424,0.783,0.005,0.19,-0.475,-0.346,46.4,1.149,0.575,0.682,0.513154799,0.64833,0.011755469,0.73974,18.438,18.438,6.285,31.802,4.321,0.041,0.009,0,6,0,1384,0.044896631
2,Albania,0,0.197049995,0.48428285,0.192520985,0.802054117,0.115183423,0.241010255,-0.148310313,0.201499996,0.434300003,0.364199982,0.00977918,0.019031816,0.118233333,0.679166667,-0.03341,0.718925,-0.081133333,13817.75897,0.29,0.143,1,0.501,0.316,0.221,0.497,0.597,0.821,0.721,0.929,,2.284,1.895,94.8,-0.393,0.911,0.687,0.508970047,0.78573,0.019890364,0.37888,36.399,36.399,8.082,11.62,1.597,0.289234695,0.009,0,6,0,11,0.046681072
3,Algeria,0,0.342486109,0.47779768,0.142277235,0.435004381,0.169460993,0.448293102,-0.110499166,0.304200001,0.599900017,0.096000004,0.011,0.028789631,0.121766667,0.4639,-0.059063333,0.49419,-0.100126667,11268.26447,0.276,0.055,0.995,0.277,0.111,0.185,0.278,0.147,0.309,0.349,0.112,0.3988,-0.633,-1.755,97.333,-1.518,0.784,0.453,0.505205954,0.7688,0.00611072,0.26267,28.521,28.521,4.716,23.583,2.988,0.473,0.018,0,6,0,6027,0.169895542
6,Angola,0,0.447609032,0.413944361,0.09429773,0.558111537,0.100041206,0.227622596,0.079528938,0.068000002,0.424700012,0.507299995,-0.02222928,0.221844699,0.0721,0.780166667,0.00411,1.17111,0.040593333,6538.452054,0.513,0.323,0.456703148,0.346,0.104,0.19,0.253,0.571,0.31,0.429,,,0.857,-0.702,89,0.285,0.731,0.595,0.494758638,0.61147,0.004270047,0.33175,16.677,16.677,7.981,40.232,5.442,0.289,0.052,0,2,0,745,0.077938
8,Argentina,0,0.224694767,0.54337188,0.068360802,0.646142004,0.15771007,0.137765982,0.027272166,0.218400002,0.780999985,0.0006,-0.006116213,0.43,0.102433333,0.689366667,-0.062846667,0.96596,-0.01724,20767.6105,0.429,0.355,1,0.831,0.547,0.685,0.865,0.792,0.723,0.812,0.925,0.79,2.925,0.941,99.167,2.524,0.875,0.966,0.487858545,0.76667,0.048052923,0.07889,31.532,31.532,7.604,16.833,2.247,0.459,0.121,0,2,0,139,0.017114091
9,Armenia,1,0.264138474,0.532963673,0.117173127,0.834395692,0.124720895,0.172245621,-0.08641984,0.2475,0.512000008,0.240499992,0.067666667,0.015670743,0.1933,0.624066667,-0.032246667,0.56347,-0.0623,13284.16083,0.299,0.264,1,0.786,0.469,0.635,0.904,0.592,0.693,0.745,0.655,0.4863,1.22,2.366,97.5,0.936,0.901,0.852,0.470346588,0.75087,0.063358929,0.36687,35.374,35.374,9.835,13.646,1.758,0.964698181,0.013,0,2,0,377,0.167195277
11,Australia,0,0.256880849,0.660401886,0.018979691,0.552831493,0.190084909,0.222555426,0.038526008,0.190599995,0.783799973,0.025599999,0.024702842,0.015689846,0.0569,0.7803,-0.050036667,0.553,0.003503333,52518.32448,0.344,0.132,1,0.836,0.605,0.75,0.943,0.987,0.96,0.864,0.99,0.9189,2.838,1.116,98,2.552,0.927,0.939,0.497987618,0.829,0.282184097,0.13759,37.875,37.875,6.7,12.1,1.657,0.945065308,0.286,0,2,769,7079,0.046377395
12,Austria,0,0.254357211,0.62923539,0.011394844,0.51698916,0.194481986,0.251933057,0.037727278,0.253600006,0.709899979,0.036600001,0.021328142,0.018205199,0.050366667,0.766066667,-0.029313333,0.778685,0.021473333,55097.46123,0.308,0.133,1,0.842,0.615,0.718,0.932,0.919,0.882,0.937,0.972,0.7559,1.212,0.389,99.909,2.511,0.938,0.953,0.492948459,0.817926829,0.174657263,0.41252,43.483,43.483,9.4,9.6,1.46,0.995548477,0.145,0,2,57,53,0.014303628
13,Azerbaijan,1,0.413879462,0.425185208,0.069257871,0.575066975,0.111234709,0.242835369,-0.007723084,0.1479,0.492200012,0.36,0.01378056,0.059880916,0.053366667,0.7197,-0.007703333,0.195365,0.070243333,14451.9837,0.266,0.06,1,0.201,0.067,0.042,0.088,0.015,0.07,0.196,0.03,0.4684,-0.035,-1.591,91.778,-1.876,0.625,0.219,0.499514408,0.73005,0.027090616,0.43603,32.333,32.333,5.6,14.1,1.8,0.955190582,0.009,0,6,0,1002,0.127005642
15,Bahrain,0,0.405220394,0.591679526,0.003145511,0.398345271,0.157628494,0.330770156,0.11323465,0.3525,0.638100014,0.0094,0.026672121,0.003855605,0.023866667,0.745966667,-0.130526667,1.17491,-0.060436667,43181.21063,,,1,0.118,0.036,0.041,0.228,0.048,0.078,0.22,0.033,0.6534,-0.852,-1.805,94,-2.305,0.521,0.085,0.646735422,0.77292,0.51126785,0.10494,32.456,32.456,2.408,13.622,1.964,0.820465088,0.02,0,6,0,151,0.125254921
16,Bangladesh,0,0.287894174,0.546316837,0.126451499,0.689751269,0.062710872,0.315355176,-0.064014096,0.213199997,0.403800011,0.382999992,0.077668675,0.056455888,0.046033333,0.6139,-0.05182,0.372745,-0.022203333,5082.68075,0.324,0.243,0.922,0.273,0.141,0.109,0.146,0.162,0.105,0.627,0.372,0.8,1.287,0.437,98.333,0.305,0.687,0.292,0.505552371,0.72591,0.008837537,0.61823,27.567,27.567,5.526,17.868,2.011,0.545232086,0.009,0,6,0,1720,0.093109865
18,Belarus,1,0.313006272,0.490748677,0.068293131,0.539636805,0.168429795,0.262717168,0.031187162,0.303799992,0.585600014,0.110600004,0.023604604,0.054840943,0.049166667,0.78,-0.002226667,0.44522,-0.006086667,20199.69849,0.253,0.05,1,0.236,0.096,0.086,0.207,0.022,0.032,0.44,0.161,0.8428,0.127,-1.406,99.333,-2.15,0.782,0.11,0.465574934,0.742268293,0.114040106,0.20517,40.335,40.335,12.8,9.3,1.382,0.98166687,0.286,1,2,463,748,0.307957181
19,Belgium,0,0.192064798,0.696481136,0.007190084,0.513819856,0.230233176,0.24764056,0.004523725,0.208400002,0.782399979,0.0092,0.017313872,0.016399759,0.057733333,0.685833333,-0.04312,1.065245,-0.003956667,51968.19202,0.272,0.148,1,0.887,0.634,0.815,0.969,0.918,0.893,0.951,0.985,0.8838,2.43,1.487,99.889,3.511,0.949,0.981,0.495644981,0.817463415,0.122835332,0.01921,41.928,41.928,9.5,10.1,1.57,0.884269638,0.31,0,2,151,107,0.017750666
24,Bolivia,0,0.252102746,0.507199151,0.122217576,0.684446792,0.18143092,0.198750109,-0.064627822,0.194099998,0.500499992,0.305400009,0.035451785,0.020118534,0.041966667,0.730966667,-0.083526667,0.619025,-0.034063333,8367.327159,0.416,0.372,0.963031006,0.324,0.266,0.245,0.496,0.34,0.686,0.746,0.916,0.8842,2.083,-0.025,88.536,0.621,0.784,0.638,0.501842238,0.71513,0.013332674,0.29877,25.56,25.56,6.762,21.455,2.688,0.953440018,0.041,0,2,0,96,0.043545964
25,Bosnia and Herzegovina,0,0.238713441,0.557305876,0.062046393,0.749991075,0.19441926,0.200199984,-0.146220172,0.317099991,0.503300018,0.179599991,0.032475029,0.003919818,0.1698,0.567633333,-0.008553333,0.353455,-0.03305,15611.79131,0.33,0.169,1,0.545,0.337,0.336,0.586,0.505,0.421,0.694,0.962,,1.565,0.675,80.556,0.724,0.823,0.617,0.489698139,0.77401,0.009133648,0.5098,43.108,43.108,10.877,7.938,1.254,0.881731186,0.024,0,2,0,2,0.019525622
27,Brazil,0,0.176501088,0.629223836,0.059055693,0.64764447,0.200777565,0.154048652,0.013874138,0.199899998,0.709400024,0.090799999,0.015058963,0.034409972,0.126433333,0.7047,-0.08784,0.933005,-0.019123333,14836.3071,0.534,0.09,0.998,0.69,0.444,0.381,0.859,0.785,0.731,0.756,0.982,,0.759,1.613,95.25,0.241,0.768,0.662,0.491325148,0.75881,0.003433132,0.12927,33.481,33.481,6.531,13.703,1.719,0.600145111,0.084,0,2,440,799,0.032106687
30,Bulgaria,0,0.229700034,0.60163219,0.03413287,0.588919821,0.167901755,0.189607124,0.016992071,0.300200005,0.633600006,0.066199999,0.034298359,0.021828606,0.0505,0.721733333,-0.012816667,0.21097,0.013716667,24367.32392,0.413,0.238,1,0.603,0.449,0.481,0.727,0.784,0.775,0.813,0.974,,1.792,1.424,99.909,0.838,0.916,0.749,0.485593683,0.749146341,0.014281964,0.24314,44.596,44.596,15.5,8.8,1.58,0.956712494,0.047,0,2,116,46,0.048069364
34,Cambodia,0,0.346707193,0.362085672,0.228369728,0.694682231,0.048067982,0.254516404,-0.014520133,0.279099998,0.375600014,0.345299988,0.071215692,0.027981014,0.0019,0.849266667,0.006573333,0.30275,-0.135273333,4422.045743,0.318,0.177,0.93,0.196,0.137,0.068,0.143,0.087,0.062,0.438,0.804,0.8302,0.693,1.359,90,-1.438,0.576,0.194,0.4882133,0.69823,0.004747945,0.75768,25.631,25.631,5.992,22.02,2.478,0.123361101,0.009,0,1,0,5,0.101707119
35,Cameroon,0,0.250180436,0.516237665,0.15181039,0.709832728,0.108608427,0.238006947,-0.057116639,0.144200001,0.420900002,0.434900017,0.028378458,0.019882368,0.034333333,0.7698,-0.033116667,0.42423,-0.044363333,3772.744986,0.466,0.375,0.634523125,0.297,0.114,0.157,0.123,0.111,0.173,0.532,0.079,0.4379,1.972,0.419,90.857,0.001,0.744,0.52,0.50015607,0.59292,0.016363137,0.4244,18.688,18.688,9.059,34.891,4.506,0.362280998,0.052,0,2,0,35,0.058316457
36,Canada,0,0.240278029,0.671166721,0.018899946,0.577617202,0.20838815,0.221003865,-0.020111512,0.1925,0.792399979,0.0151,0.024436144,0.016448314,0.0699,0.786566667,-0.032826667,1.023315,-0.021093333,48072.58376,0.333,0.11,1,0.869,0.619,0.769,0.958,0.826,0.743,0.956,0.97,0.6765,2.586,0.918,90,3.107,0.919,0.969,0.496319752,0.820487805,0.218016636,0.18438,41.124,41.124,7.6,9.9,1.4684,0.836,0.245,0,2,705,1104,0.024686866
38,Central African Republic,0,0.208386939,0.425086499,0.339178376,0.9609,0.0804463,0.231559943,-0.1813,0.062600002,0.238899994,0.698499985,0.037722406,0.022004047,0.041533333,0.727933333,-0.00694,0.460555,-0.069403333,979.5830661,0.613,0.62,0.143,0.379,0.159,0.232,0.282,0.278,0.65,0.563,,0.7631,1.835,2.184,51.75,0.134,0.585,0.643,0.495685089,0.53283,0.016651722,0.57802,17.611,17.611,11.974,35.09,4.645,0.094,0.009,0,2,0,3,0.079544732
39,Chad,0,0.169413105,0.468700279,0.477293049,0.760850934,0.035875126,0.224471365,-0.171732156,0.0188,0.230599995,0.750599976,0.015770032,0.005885277,0.0202,0.708566667,0.01116,0.436445,-0.050206667,1603.378457,0.433,0.423,0.084,0.268,0.161,0.132,0.073,0.12,0.159,0.561,0.628,,1.397,1.387,83.2,-1.783,0.618,0.479,0.499223207,0.54239,0.036827714,0.7648,16.554,16.554,11.907,41.665,5.649,0.01,0.024,0,6,0,15,0.156466452
41,Chile,0,0.314258559,0.564789468,0.038626092,0.632080703,0.146294868,0.198233161,0.052479003,0.2225,0.687799988,0.089799995,-0.003718791,0.026793085,0.086766667,0.687933333,-0.037596667,0.303735,-0.0209,25067.6916,0.444,0.086,1,0.814,0.573,0.706,0.969,0.954,0.977,0.856,0.967,,2.756,1.789,96.429,1.056,0.902,0.91,0.493072083,0.80181,0.026155132,0.12273,35.339,35.339,6.254,12.187,1.627,0.796048508,0.097,0,2,0,457,0.063152552
42,China,0,0.378209173,0.545260162,0.076530665,0.392480622,0.16770511,0.432511057,0.024869346,0.274200001,0.4725,0.253299999,0.049998294,0.024644822,0.046333333,0.760066667,-0.074606667,0.6194,0.009203333,17311.99792,0.385,0.006,1,0.075,0.053,0.111,,0.085,0.128,0.335,0.229,,-2.533,-0.982,94,-1.968,0.612,0.061,0.512912628,0.76912,0.000710764,0.38572,38.422,38.422,7.1,10.5,1.696,0.653229218,0.518,0,0,7248,6597,0.046855482
43,Colombia,0,0.237848608,0.596810857,0.076842696,0.685497103,0.157576106,0.188337949,-0.062888364,0.201200008,0.641100006,0.157700005,-0.003339577,0.030967825,0.115033333,0.734566667,-0.04702,0.57551,-0.03948,14565.36805,0.513,0.357,0.997662735,0.609,0.402,0.378,0.767,0.854,0.694,0.614,0.996,0.5338,1.591,1.219,80.333,0.969,0.7,0.567,0.491020989,0.77287,0.002760472,0.18575,31.307,31.307,5.63,14.655,1.789,0.577458305,0.067,0,2,24,226,0.095223289
47,Costa Rica,0,0.196826408,0.688457834,0.043519793,0.643680355,0.168651519,0.152193247,0.023785335,0.187999992,0.692200012,0.119700003,-0.001052705,0.016806908,0.127333333,0.6871,-0.070593333,0.62592,-0.02688,21031.81754,0.482,0.21,0.9971,0.899,0.658,0.853,0.96,0.954,0.956,0.923,0.97,0.6645,2.829,1.161,95.5,1.973,0.931,0.954,0.49961112,0.80279,0.087710099,0.19229,33.462,33.462,5.152,13.689,1.737,0.55444191,0.08,0,2,0,0,0
